latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
20.12258,82.95576,330.85,0.58,0.52,2025-04-10,0706,N20,VIIRS,l,2,302.58,3.07,D,0
20.8447,86.54838,333.06,0.52,0.41,2025-04-10,0706,N20,VIIRS,n,2,300.18,4.83,D,0
20.10868,82.23033,335.45,0.32,0.55,2025-04-10,0706,N20,VIIRS,n,2,304.04,4,D,0
19.63753,79.9063,332.6,0.47,0.64,2025-04-10,0706,N20,VIIRS,l,2,303.24,4.66,D,0
19.63659,79.90199,332.41,0.47,0.64,2025-04-10,0706,N20,VIIRS,l,2,302.62,4.73,D,0
20.38437,83.47794,336.33,0.53,0.5,2025-04-10,0706,N20,VIIRS,n,2,302.33,2.96,D,0
20.36208,83.34027,332.04,0.54,0.51,2025-04-10,0706,N20,VIIRS,n,2,301.55,0.96,D,0
20.78583,85.36344,332.92,0.4,0.44,2025-04-10,0707,N20,VIIRS,n,2,299.85,2.39,D,0
20.46529,83.59737,331.24,0.52,0.5,2025-04-10,0707,N20,VIIRS,n,2,300.89,2.57,D,0
20.79472,85.25469,353.15,0.41,0.45,2025-04-10,0707,N20,VIIRS,n,2,308.52,10.03,D,2
20.76675,85.03821,331.21,0.42,0.45,2025-04-10,0707,N20,VIIRS,l,2,303.45,0.96,D,0
20.08092,81.51966,345.67,0.36,0.57,2025-04-10,0707,N20,VIIRS,n,2,306.55,5.58,D,0
20.44964,83.30303,335.71,0.55,0.51,2025-04-10,0707,N20,VIIRS,n,2,302.58,4.5,D,0
20.82138,85.21702,331.94,0.41,0.45,2025-04-10,0707,N20,VIIRS,l,2,303.64,2.62,D,0
20.70277,84.53852,340.57,0.45,0.47,2025-04-10,0707,N20,VIIRS,n,2,305.23,11.79,D,0
20.70781,84.54187,350.24,0.45,0.47,2025-04-10,0707,N20,VIIRS,n,2,307.15,14.15,D,0
20.70701,84.53761,353.66,0.45,0.47,2025-04-10,0707,N20,VIIRS,n,2,306.15,11.79,D,0
20.20796,81.97803,336.31,0.34,0.56,2025-04-10,0707,N20,VIIRS,n,2,303.78,2.51,D,0
20.74057,84.66926,337.68,0.44,0.46,2025-04-10,0707,N20,VIIRS,n,2,300.09,4.5,D,0
20.21128,81.97594,330.94,0.34,0.56,2025-04-10,0707,N20,VIIRS,l,2,303.7,1.52,D,0
20.94239,85.59344,330.73,0.39,0.44,2025-04-10,0707,N20,VIIRS,l,2,301.63,1.7,D,0
20.86315,84.99332,334.39,0.42,0.45,2025-04-10,0707,N20,VIIRS,l,2,305.45,4.22,D,2
20.98069,85.57835,334.45,0.39,0.44,2025-04-10,0707,N20,VIIRS,n,2,299.77,2.56,D,0
19.91525,80.23515,330.43,0.44,0.62,2025-04-10,0707,N20,VIIRS,l,2,300.72,2.55,D,0
20.88704,84.9841,334.62,0.42,0.45,2025-04-10,0707,N20,VIIRS,n,2,303.5,4.39,D,2
20.14486,81.22717,338.62,0.38,0.58,2025-04-10,0707,N20,VIIRS,n,2,301.92,2.69,D,0
19.76484,79.46758,333.23,0.5,0.66,2025-04-10,0707,N20,VIIRS,n,2,302.67,3.61,D,0
20.77555,84.25351,332.31,0.47,0.48,2025-04-10,0707,N20,VIIRS,l,2,303.72,4.23,D,0
19.91131,79.99741,332.3,0.46,0.63,2025-04-10,0707,N20,VIIRS,l,2,305.77,2.41,D,0
20.96357,85.19118,333.05,0.41,0.45,2025-04-10,0707,N20,VIIRS,l,2,307.01,6.52,D,2
20.96076,85.17588,337.51,0.41,0.45,2025-04-10,0707,N20,VIIRS,n,2,306.97,5.49,D,2
20.77646,84.24951,334.61,0.47,0.48,2025-04-10,0707,N20,VIIRS,n,2,303.93,5.64,D,0
20.96339,85.19104,333.45,0.41,0.45,2025-04-10,0707,N20,VIIRS,l,2,306.88,6.23,D,2
20.96047,85.17571,334.23,0.41,0.45,2025-04-10,0707,N20,VIIRS,l,2,306.71,3.8,D,2
20.96453,85.17484,330.82,0.41,0.45,2025-04-10,0707,N20,VIIRS,l,2,305.77,2.73,D,2
20.96931,85.17783,344.43,0.41,0.45,2025-04-10,0707,N20,VIIRS,n,2,305.12,6.06,D,2
20.96857,85.17396,331.34,0.41,0.45,2025-04-10,0707,N20,VIIRS,l,2,304.95,2.73,D,2
