latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
67.96926,157.71054,367.0,0.51,0.41,2025-07-31,35,N20,VIIRS,h,2.0NRT,329.92,126.03,D
67.97064,157.76933,332.37,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,300.24,11.69,D
67.97108,157.75322,367.0,0.51,0.41,2025-07-31,35,N20,VIIRS,h,2.0NRT,307.77,59.51,D
67.97154,157.73715,367.0,0.51,0.41,2025-07-31,35,N20,VIIRS,h,2.0NRT,355.03,299.11,D
67.97195,157.72087,367.0,0.51,0.41,2025-07-31,35,N20,VIIRS,h,2.0NRT,362.29,420.64,D
67.97375,157.76344,349.4,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,308.11,59.51,D
67.97421,157.74739,367.0,0.51,0.41,2025-07-31,35,N20,VIIRS,h,2.0NRT,333.35,59.51,D
67.97464,157.73123,367.0,0.51,0.41,2025-07-31,35,N20,VIIRS,h,2.0NRT,344.64,420.64,D
67.97507,157.71501,305.8,0.51,0.41,2025-07-31,35,N20,VIIRS,l,2.0NRT,323.01,420.64,D
67.97686,157.75757,332.48,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,303.84,59.51,D
67.97733,157.74152,349.89,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,300.4,23.25,D
67.97775,157.72527,367.0,0.51,0.41,2025-07-31,35,N20,VIIRS,h,2.0NRT,347.69,420.64,D
67.97997,157.75171,342.67,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,302.53,23.25,D
67.98044,157.73563,367.0,0.51,0.41,2025-07-31,35,N20,VIIRS,h,2.0NRT,306.39,23.25,D
67.9808,157.9153,350.1,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,303.56,9.39,D
67.98086,157.71939,327.97,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,297.39,4.49,D
67.98112,157.80962,337.41,0.51,0.41,2025-07-31,35,N20,VIIRS,l,2.0NRT,309.34,15.83,D
67.98263,157.76192,346.15,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,301.1,10.26,D
67.98309,157.74583,355.21,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,305.72,23.25,D
67.9832,157.83546,348.37,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,311.02,62.64,D
67.98429,157.804,367.0,0.51,0.41,2025-07-31,35,N20,VIIRS,l,2.0NRT,326.44,68.42,D
67.98574,157.75606,333.23,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,296.06,10.26,D
67.9862,157.73994,354.09,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,311.13,44.37,D
67.98637,157.82982,367.0,0.51,0.41,2025-07-31,35,N20,VIIRS,h,2.0NRT,327.66,62.64,D
67.98746,157.79834,345.82,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,299.77,68.42,D
67.98886,157.75018,339.8,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,303.5,43.86,D
67.98896,157.83981,353.17,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,312.8,102.43,D
67.99213,157.83417,346.43,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,308.19,39.38,D
67.99274,157.90787,354.58,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,314.24,24.24,D
67.99417,157.85991,347.3,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,314.0,37.88,D
67.99472,157.84416,352.42,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,309.59,39.38,D
67.99483,157.93373,350.73,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,311.99,30.51,D
67.99586,157.90207,350.56,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,311.89,24.24,D
67.9963,157.88596,349.22,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,309.51,11.94,D
67.99678,157.86995,349.95,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,322.4,37.88,D
67.9973,157.85413,351.06,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,313.1,49.08,D
67.9974,157.94368,367.0,0.51,0.41,2025-07-31,35,N20,VIIRS,h,2.0NRT,319.05,178.16,D
67.99786,157.83847,344.72,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,315.42,39.38,D
67.99896,157.89624,345.77,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,310.32,11.94,D
67.9994,157.88004,367.0,0.51,0.41,2025-07-31,35,N20,VIIRS,h,2.0NRT,318.84,11.94,D
67.9999,157.86417,367.0,0.51,0.41,2025-07-31,35,N20,VIIRS,h,2.0NRT,320.51,49.08,D
